DATE,YEAR,MONTH,DISTRICT,LAT,LON,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
1985-09-30,1985,9,Arghakhanchi,27.9,83.2,248.93,92.91,16.95,83.78,24.05,20.96,27.44,21.32,6.13,24.09,2.53,4.05,1.19,2.85,3.69,4.95,2.19,2.77
1985-10-31,1985,10,Arghakhanchi,27.9,83.2,102.29,93.38,13.24,78.85,20.91,16.89,24.89,17.86,7.04,20.19,1.82,3.03,0.79,2.24,2.54,3.71,1.14,2.58
1985-11-30,1985,11,Arghakhanchi,27.9,83.2,0.0,93.59,7.87,60.15,16.95,8.84,23.18,12.88,10.3,15.21,1.94,3.31,0.73,2.58,2.61,3.91,0.78,3.13
1985-12-31,1985,12,Arghakhanchi,27.9,83.2,8.3,93.7,5.9,52.91,14.67,4.82,21.34,10.54,10.8,12.72,2.15,4.01,0.84,3.17,2.95,4.62,1.14,3.48
1986-01-31,1986,1,Arghakhanchi,27.9,83.2,1.37,93.72,4.25,40.6,13.69,0.23,21.04,9.29,11.75,11.51,2.28,4.1,0.85,3.25,3.06,4.72,1.06,3.66
1986-02-28,1986,2,Arghakhanchi,27.9,83.2,14.91,93.55,4.75,39.34,16.12,1.64,23.66,11.04,12.62,15.02,2.82,5.04,1.15,3.89,3.87,5.74,1.48,4.26
1986-03-31,1986,3,Arghakhanchi,27.9,83.2,3.03,93.22,4.47,26.07,21.62,0.93,30.18,14.88,15.3,21.42,3.37,6.13,1.41,4.72,4.63,7.03,1.73,5.3
1986-04-30,1986,4,Arghakhanchi,27.9,83.2,7.99,92.94,4.66,19.45,27.02,1.43,34.96,19.56,15.4,27.69,3.3,5.68,1.11,4.57,4.35,6.63,1.5,5.13
1986-05-31,1986,5,Arghakhanchi,27.9,83.2,19.8,92.77,6.08,23.36,28.65,4.34,36.05,21.21,14.84,29.92,3.17,5.22,1.25,3.97,4.09,5.92,1.69,4.23
1986-06-30,1986,6,Arghakhanchi,27.9,83.2,125.14,92.32,11.52,38.96,30.93,12.94,37.12,24.9,12.22,32.69,2.93,4.76,1.13,3.62,3.7,5.39,1.73,3.66
1986-07-31,1986,7,Arghakhanchi,27.9,83.2,287.25,92.53,17.8,78.15,26.01,21.72,29.61,22.93,6.68,26.45,3.16,5.1,1.51,3.59,4.43,6.06,2.65,3.41
1986-08-31,1986,8,Arghakhanchi,27.9,83.2,104.18,92.64,17.44,75.43,26.26,21.4,30.34,22.87,7.46,26.61,2.38,4.0,0.92,3.08,3.36,4.92,1.57,3.35
1986-09-30,1986,9,Arghakhanchi,27.9,83.2,87.84,93.02,14.44,67.88,25.02,18.43,29.98,21.16,8.82,25.45,2.51,4.24,0.99,3.25,3.5,5.09,1.7,3.39
1986-10-31,1986,10,Arghakhanchi,27.9,83.2,24.82,93.44,9.34,51.11,22.14,11.07,28.5,17.38,11.12,21.5,2.06,3.46,0.69,2.77,2.76,4.13,0.87,3.26
1986-11-30,1986,11,Arghakhanchi,27.9,83.2,0.39,93.64,4.62,32.14,18.68,1.6,26.25,13.55,12.7,16.52,2.19,3.73,0.73,3.0,2.89,4.23,0.88,3.35
1986-12-31,1986,12,Arghakhanchi,27.9,83.2,31.66,93.89,4.26,38.2,14.84,0.23,21.77,10.59,11.18,12.75,2.15,3.58,0.81,2.77,2.87,4.15,0.99,3.16
1987-01-31,1987,1,Arghakhanchi,27.9,83.2,17.9,93.89,3.79,35.2,14.14,-1.39,21.65,9.44,12.2,11.84,2.15,3.78,0.81,2.97,2.79,4.2,0.99,3.22
1987-02-28,1987,2,Arghakhanchi,27.9,83.2,3.44,93.73,4.02,29.69,17.67,-0.41,25.64,12.14,13.5,16.39,2.67,4.91,1.07,3.84,3.54,5.52,1.32,4.2
1987-03-31,1987,3,Arghakhanchi,27.9,83.2,3.61,93.28,4.26,24.42,21.95,0.43,30.07,15.28,14.79,21.82,3.06,5.73,0.94,4.79,4.07,6.45,1.19,5.26
1987-04-30,1987,4,Arghakhanchi,27.9,83.2,2.49,93.04,4.25,17.68,27.17,-0.47,35.28,19.62,15.66,27.96,3.57,5.99,1.42,4.57,4.77,6.96,2.02,4.93
1987-05-31,1987,5,Arghakhanchi,27.9,83.2,30.93,92.98,6.93,27.53,28.68,7.11,36.03,21.9,14.13,29.78,3.41,5.98,1.42,4.55,4.56,6.82,2.03,4.79
1987-06-30,1987,6,Arghakhanchi,27.9,83.2,12.24,92.36,8.69,26.41,32.71,9.84,39.69,25.81,13.87,34.65,3.12,5.01,1.2,3.81,3.93,5.6,1.72,3.88
1987-07-31,1987,7,Arghakhanchi,27.9,83.2,291.64,92.4,17.31,67.8,28.23,21.07,32.75,24.26,8.5,29.27,2.38,4.01,0.88,3.13,3.07,4.54,1.44,3.1
1987-08-31,1987,8,Arghakhanchi,27.9,83.2,212.63,92.58,18.46,80.3,26.13,22.31,30.07,22.95,7.12,26.51,2.63,4.36,1.15,3.21,3.7,5.14,2.06,3.08
1987-09-30,1987,9,Arghakhanchi,27.9,83.2,204.87,92.97,17.19,82.08,24.58,21.09,28.2,21.64,6.56,24.36,1.89,3.32,0.63,2.69,2.61,3.91,1.02,2.89
1987-10-31,1987,10,Arghakhanchi,27.9,83.2,109.14,93.45,11.58,67.33,21.43,14.7,26.51,17.33,9.18,20.38,1.82,3.11,0.58,2.53,2.38,3.58,0.83,2.74
1987-11-30,1987,11,Arghakhanchi,27.9,83.2,0.0,93.6,5.94,41.88,18.2,4.47,25.1,13.5,11.6,15.22,1.76,3.16,0.52,2.65,2.25,3.58,0.63,2.95
1987-12-31,1987,12,Arghakhanchi,27.9,83.2,7.05,93.91,4.35,38.15,15.15,0.35,22.28,10.73,11.55,11.92,1.82,3.48,0.61,2.87,2.32,3.68,0.72,2.95
1988-01-31,1988,1,Arghakhanchi,27.9,83.2,21.03,93.69,4.08,37.21,14.4,-0.4,21.97,9.88,12.08,12.05,2.24,4.16,0.76,3.4,2.97,4.63,0.93,3.7
